N,Function,Measurement_ms
256,OpenMP_t16,5.54733
256,OpenMP_t16,5.61741
256,OpenMP_t16,5.58543
256,OpenMP_t16,5.63442
256,OpenMP_t16,5.57397
256,OpenMP_t16,5.59173
256,OpenMP_t16,5.6248
256,OpenMP_t16,5.55483
256,OpenMP_t16,5.60904
256,OpenMP_t16,6.18131
256,OpenMP_t16,5.56122
256,OpenMP_t16,5.61876
256,OpenMP_t16,5.59051
256,OpenMP_t16,6.11679
256,OpenMP_t16,6.35554
256,OpenMP_t16,5.64933
256,OpenMP_t16,5.58061
256,OpenMP_t16,5.63054
256,OpenMP_t16,6.94726
256,OpenMP_t16,5.58526
256,OpenMP_t16,5.54087
256,OpenMP_t16,5.58016
256,OpenMP_t16,6.89122
256,OpenMP_t16,5.58625
256,OpenMP_t16,5.54515
256,OpenMP_t16,5.54992
256,OpenMP_t16,6.30474
256,OpenMP_t16,6.12891
256,OpenMP_t16,5.55439
256,OpenMP_t16,5.53707
256,OpenMP_t16,5.58583
256,OpenMP_t16,6.9274
256,OpenMP_t16,5.60171
256,OpenMP_t16,5.56173
256,OpenMP_t16,5.60388
256,OpenMP_t16,6.90717
256,OpenMP_t16,5.61071
256,OpenMP_t16,5.56174
256,OpenMP_t16,5.59232
256,OpenMP_t16,6.50523
256,OpenMP_t16,5.97111
256,OpenMP_t16,5.55263
256,OpenMP_t16,5.58194
256,OpenMP_t16,5.61238
256,OpenMP_t16,7.10233
256,OpenMP_t16,5.57889
256,OpenMP_t16,5.56496
256,OpenMP_t16,5.64632
256,OpenMP_t16,7.15474
256,OpenMP_t16,5.58287
256,OpenMP_t16,5.60431
256,OpenMP_t16,5.64645
256,OpenMP_t16,6.32151
256,OpenMP_t16,6.08095
256,OpenMP_t16,5.57809
256,OpenMP_t16,5.61833
256,OpenMP_t16,5.7576
256,OpenMP_t16,6.96705
256,OpenMP_t16,7.68452
256,OpenMP_t16,7.91081
256,OpenMP_t16,7.23997
256,OpenMP_t16,5.58859
256,OpenMP_t16,5.61175
256,OpenMP_t16,5.62076
256,OpenMP_t16,5.57335
256,OpenMP_t16,5.59775
256,OpenMP_t16,5.57339
256,OpenMP_t16,5.5789
256,OpenMP_t16,5.62139
256,OpenMP_t16,5.57659
256,OpenMP_t16,5.60547
256,OpenMP_t16,5.58486
256,OpenMP_t16,5.57747
256,OpenMP_t16,5.61529
256,OpenMP_t16,5.61913
256,OpenMP_t16,5.6136
256,OpenMP_t16,5.57109
256,OpenMP_t16,5.58986
256,OpenMP_t16,5.62408
256,OpenMP_t16,5.62986
256,OpenMP_t16,5.65346
256,OpenMP_t16,5.65176
256,OpenMP_t16,5.62082
256,OpenMP_t32,3.0344
256,OpenMP_t32,3.04602
256,OpenMP_t32,4.53737
256,OpenMP_t32,3.17122
256,OpenMP_t32,2.98093
256,OpenMP_t32,2.97307
256,OpenMP_t32,3.01157
256,OpenMP_t32,3.07785
256,OpenMP_t32,3.07956
256,OpenMP_t32,3.04298
256,OpenMP_t32,3.04359
256,OpenMP_t32,3.05404
256,OpenMP_t32,3.0486
256,OpenMP_t32,3.06411
256,OpenMP_t32,3.03169
256,OpenMP_t32,3.03719
256,OpenMP_t32,3.04439
256,OpenMP_t32,3.02834
256,OpenMP_t32,3.00742
256,OpenMP_t32,3.00883
256,OpenMP_t32,3.0414
256,OpenMP_t32,3.05467
256,OpenMP_t32,3.05484
256,OpenMP_t32,3.02913
256,OpenMP_t32,3.03851
256,OpenMP_t32,3.04973
256,OpenMP_t32,3.04734
256,OpenMP_t32,3.04885
256,OpenMP_t32,3.04749
256,OpenMP_t32,3.03738
256,OpenMP_t32,3.03686
256,OpenMP_t32,3.0447
256,OpenMP_t32,3.07233
256,OpenMP_t32,3.05364
256,OpenMP_t32,3.04629
256,OpenMP_t32,3.03501
256,OpenMP_t32,3.05229
256,OpenMP_t32,3.05834
256,OpenMP_t32,3.04186
256,OpenMP_t32,3.03384
256,OpenMP_t32,3.01519
256,OpenMP_t32,3.03618
256,OpenMP_t32,3.01503
256,OpenMP_t32,3.05105
256,OpenMP_t32,3.0305
256,OpenMP_t32,3.04411
256,OpenMP_t32,3.04636
256,OpenMP_t32,3.03928
256,OpenMP_t32,3.02218
256,OpenMP_t32,3.07168
256,OpenMP_t32,3.02821
256,OpenMP_t32,3.04887
256,OpenMP_t32,3.02686
256,OpenMP_t32,3.0484
256,OpenMP_t32,3.03986
256,OpenMP_t32,3.0353
256,OpenMP_t32,3.03698
256,OpenMP_t32,3.04003
256,OpenMP_t32,3.03114
256,OpenMP_t32,3.04344
256,OpenMP_t32,3.01931
256,OpenMP_t32,3.8045
256,OpenMP_t32,3.03143
256,OpenMP_t32,2.98153
256,OpenMP_t32,3.00356
256,OpenMP_t32,3.00578
256,OpenMP_t32,3.06803
256,OpenMP_t32,3.09113
256,OpenMP_t32,3.08999
256,OpenMP_t32,3.05329
256,OpenMP_t32,3.07389
256,OpenMP_t32,3.0668
256,OpenMP_t32,3.06401
256,OpenMP_t32,3.08939
256,OpenMP_t32,3.05738
256,OpenMP_t32,3.06857
256,OpenMP_t32,3.08469
256,OpenMP_t32,3.06301
256,OpenMP_t32,3.07322
256,OpenMP_t32,3.0822
256,OpenMP_t32,3.07625
256,OpenMP_t32,3.20339
256,OpenMP_t32,3.10689
256,OpenMP_t32,3.07574
256,OpenMP_t32,3.10107
256,OpenMP_t32,3.07589
256,OpenMP_t32,3.06531
256,OpenMP_t32,3.06489
256,OpenMP_t32,3.18758
256,OpenMP_t32,3.20604
256,OpenMP_t32,3.17415
256,OpenMP_t32,3.16623
256,OpenMP_t32,3.16393
256,OpenMP_t32,3.16786
256,OpenMP_t32,3.16561
256,OpenMP_t32,3.19957
256,OpenMP_t32,3.20521
256,OpenMP_t32,3.18205
256,OpenMP_t32,3.17229
256,OpenMP_t32,3.16768
256,OpenMP_t32,3.16916
256,OpenMP_t32,3.17258
256,OpenMP_t32,3.21343
256,OpenMP_t32,3.1974
256,OpenMP_t32,3.16704
256,OpenMP_t32,3.16804
256,OpenMP_t32,3.1753
256,OpenMP_t32,3.00975
256,OpenMP_t32,3.01957
256,OpenMP_t32,3.05551
256,OpenMP_t32,3.13007
256,OpenMP_t32,3.0825
256,OpenMP_t32,3.07606
256,OpenMP_t32,3.44174
256,OpenMP_t32,3.6292
256,OpenMP_t32,2.94469
256,OpenMP_t32,2.93792
256,OpenMP_t32,2.9971
256,OpenMP_t32,3.05472
256,OpenMP_t32,3.04855
256,OpenMP_t32,3.03154
256,OpenMP_t32,3.02627
256,OpenMP_t32,3.00838
256,OpenMP_t32,3.02283
256,OpenMP_t32,3.15651
256,OpenMP_t32,3.09745
256,OpenMP_t32,3.04433
256,OpenMP_t32,3.93348
256,OpenMP_t32,4.08588
256,OpenMP_t32,3.03006
256,OpenMP_t32,2.99085
256,OpenMP_t32,2.99451
256,OpenMP_t32,3.02439
256,OpenMP_t32,3.02251
256,OpenMP_t32,3.11747
256,OpenMP_t32,3.04782
256,OpenMP_t32,3.06359
256,OpenMP_t32,3.05255
256,OpenMP_t32,3.01653
256,OpenMP_t32,3.00003
256,OpenMP_t32,3.05009
256,OpenMP_t32,3.03488
256,OpenMP_t32,3.05134
256,OpenMP_t32,3.02066
256,OpenMP_t32,3.08073
256,OpenMP_t32,3.05779
256,OpenMP_t32,3.02363
256,OpenMP_t32,3.11484
256,OpenMP_t32,3.00974
256,OpenMP_t32,3.01915
256,OpenMP_t32,3.02284
256,OpenMP_t32,2.99627
256,OpenMP_t32,3.06248
256,OpenMP_t32,3.04845
256,OpenMP_t32,3.03471
256,OpenMP_t32,2.9974
256,OpenMP_t32,3.01834
256,OpenMP_t32,3.03746
256,OpenMP_t32,3.01706
256,OpenMP_t32,3.01236
256,OpenMP_t32,3.02898
256,OpenMP_t32,3.06908
256,OpenMP_t32,3.05667
256,OpenMP_t32,3.01954
256,OpenMP_t32,3.00769
256,OpenMP_t32,3.02951
256,OpenMP_t32,3.0299
256,OpenMP_t32,3.01428
256,OpenMP_t32,3
256,OpenMP_t32,3.02148
256,OpenMP_t32,3.0506
256,OpenMP_t32,3.05306
256,OpenMP_t32,2.99834
256,OpenMP_t32,3.03793
256,OpenMP_t32,3.01342
256,OpenMP_t32,3.01424
256,OpenMP_t32,3.0033
256,OpenMP_t32,3.02947
256,OpenMP_t32,3.03621
256,OpenMP_t32,3.0438
256,OpenMP_t32,3.00777
256,OpenMP_t32,3.0128
256,OpenMP_t32,3.01417
256,OpenMP_t32,3.02385
256,OpenMP_t32,3.00743
256,OpenMP_t32,3.03422
256,OpenMP_t32,3.02617
256,OpenMP_t32,3.03504
256,OpenMP_t32,3.0298
256,OpenMP_t32,3.02746
256,OpenMP_t32,3.01876
256,OpenMP_t32,3.01661
256,OpenMP_t32,3.00223
256,OpenMP_t32,3.01267
256,OpenMP_t32,3.01796
256,OpenMP_t32,3.03025
256,OpenMP_t32,3.03106
256,OpenMP_t32,3.04253
256,OpenMP_t32,3.0385
256,OpenMP_t32,3.01808
256,OpenMP_t32,3.00376
256,OpenMP_t32,3.01002
256,OpenMP_t32,3.01674
256,OpenMP_t32,3.02355
256,OpenMP_t32,3.02354
256,OpenMP_t32,3.20996
256,OpenMP_t32,3.05744
256,OpenMP_t32,3.98938
256,OpenMP_t32,3.01515
256,OpenMP_t32,2.98758
256,OpenMP_t32,2.98051
256,OpenMP_t32,3.026
256,OpenMP_t32,3.04063
256,OpenMP_t32,3.07975
256,OpenMP_t32,3.58216
256,OpenMP_t32,3.05272
256,OpenMP_t32,3.00712
256,OpenMP_t32,3.03226
256,OpenMP_t32,3.00879
256,OpenMP_t32,3.01531
256,OpenMP_t32,3.03972
256,OpenMP_t32,3.061
256,OpenMP_t32,3.07529
256,OpenMP_t32,3.01959
256,OpenMP_t32,3.02129
256,OpenMP_t32,3.03601
256,OpenMP_t32,3.04505
256,OpenMP_t32,3.02345
256,OpenMP_t32,3.02698
256,OpenMP_t32,3.04929
256,OpenMP_t32,3.15042
256,OpenMP_t32,3.03328
256,OpenMP_t32,3.03445
256,OpenMP_t32,3.02829
256,OpenMP_t32,3.03082
256,OpenMP_t32,3.01192
