N,Function,Latency_ms,Estimation,Error_abs,Error_rel
1,P1_CUDA_Det,0.040356,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040415,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039594,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040426,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040576,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040125,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040065,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039544,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040596,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039975,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040827,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040045,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040536,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040235,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039574,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040526,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039975,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040887,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040245,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040115,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040065,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040465,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040897,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040866,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040426,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040476,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040375,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.045015,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040025,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040286,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039674,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040125,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040266,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040817,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040576,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040927,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040666,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040566,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.041077,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040106,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040496,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039925,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040015,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.041087,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040717,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040456,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040075,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.041398,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040235,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040877,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039514,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040566,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040897,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040946,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040626,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040826,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040817,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040526,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040356,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040466,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040446,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040496,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040146,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040757,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040806,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040075,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040195,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040045,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040476,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039644,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039955,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040777,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040936,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039795,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040816,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040145,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039945,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040245,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040035,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040796,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039895,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039855,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039975,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040025,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040386,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040527,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040246,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039914,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040165,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040556,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040466,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040145,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040085,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040476,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040335,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040015,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040416,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039966,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040787,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040436,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040106,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040496,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040266,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040516,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040857,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040044,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040507,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040216,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040316,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040516,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039505,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040196,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039614,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040036,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040365,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040857,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039765,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.039814,0.00788608,1.93972e-06,0.000246028
1,P1_CUDA_Det,0.040286,0.00788608,1.93972e-06,0.000246028
