N,Function,Latency_ms,Estimation,Error
1000,CPU,0.31012,0.062,0.0065896
1000,CPU,0.307485,0.059,0.0095896
1000,CPU,0.303848,0.068,0.0005896
1000,CPU,0.323205,0.06,0.0085896
1000,CPU,0.332693,0.069,0.0004104
1000,CPU,0.300442,0.082,0.0134104
1000,CPU,0.305401,0.075,0.0064104
1000,CPU,0.305431,0.081,0.0124104
1000,CPU,0.304059,0.064,0.0045896
1000,CPU,0.3046,0.069,0.0004104
1000,CPU,0.300112,0.065,0.0035896
1000,CPU,0.30458,0.086,0.0174104
1000,CPU,0.3045,0.07,0.0014104
1000,CPU,0.304911,0.069,0.0004104
1000,CPU,0.307495,0.076,0.0074104
1000,CPU,0.3044,0.057,0.0115896
1000,CPU,0.300983,0.077,0.0084104
1000,CPU,0.303408,0.056,0.0125896
1000,CPU,0.304951,0.065,0.0035896
1000,CPU,0.304279,0.065,0.0035896
1000,CPU,0.304229,0.068,0.0005896
1000,CPU,0.303378,0.059,0.0095896
1000,CPU,0.300713,0.064,0.0045896
1000,CPU,0.304279,0.049,0.0195896
1000,CPU,0.30429,0.062,0.0065896
1000,CPU,0.305001,0.069,0.0004104
1000,CPU,0.304119,0.07,0.0014104
1000,CPU,0.303588,0.078,0.0094104
1000,CPU,0.30449,0.064,0.0045896
1000,CPU,0.305872,0.075,0.0064104
1000,CPU,0.310702,0.049,0.0195896
1000,CPU,0.303688,0.064,0.0045896
1000,CPU,0.304119,0.056,0.0125896
1000,CPU,0.343873,0.071,0.0024104
1000,CPU,0.30454,0.063,0.0055896
1000,CPU,0.30445,0.057,0.0115896
1000,CPU,0.304961,0.069,0.0004104
1000,CPU,0.30493,0.06,0.0085896
1000,CPU,0.300852,0.07,0.0014104
1000,CPU,0.30423,0.062,0.0065896
1000,CPU,0.306864,0.054,0.0145896
1000,CPU,0.304981,0.079,0.0104104
1000,CPU,0.30456,0.068,0.0005896
1000,CPU,0.30468,0.066,0.0025896
1000,CPU,0.300693,0.067,0.0015896
1000,CPU,0.305241,0.067,0.0015896
1000,CPU,0.305281,0.084,0.0154104
1000,CPU,0.305,0.083,0.0144104
1000,CPU,0.303658,0.072,0.0034104
1000,CPU,0.29978,0.071,0.0024104
1000,CPU,0.305562,0.093,0.0244104
1000,CPU,0.304329,0.069,0.0004104
1000,CPU,0.3048,0.087,0.0184104
1000,CPU,0.308137,0.064,0.0045896
1000,CPU,0.304259,0.058,0.0105896
1000,CPU,0.29972,0.048,0.0205896
1000,CPU,0.304509,0.061,0.0075896
1000,CPU,0.30437,0.075,0.0064104
1000,CPU,0.303949,0.067,0.0015896
1000,CPU,0.304039,0.079,0.0104104
1000,CPU,0.303888,0.067,0.0015896
1000,CPU,0.29971,0.059,0.0095896
1000,CPU,0.30448,0.072,0.0034104
1000,CPU,0.303949,0.063,0.0055896
1000,CPU,0.3048,0.083,0.0144104
1000,CPU,0.305121,0.062,0.0065896
1000,CPU,0.303458,0.08,0.0114104
1000,CPU,0.304129,0.064,0.0045896
1000,CPU,0.303748,0.056,0.0125896
1000,CPU,0.303708,0.076,0.0074104
1000,CPU,0.303698,0.072,0.0034104
1000,CPU,0.304009,0.073,0.0044104
1000,CPU,0.299701,0.072,0.0034104
1000,CPU,0.30475,0.076,0.0074104
1000,CPU,0.30429,0.074,0.0054104
1000,CPU,0.304379,0.067,0.0015896
1000,CPU,0.304169,0.06,0.0085896
1000,CPU,0.29926,0.072,0.0034104
1000,CPU,0.304039,0.081,0.0124104
1000,CPU,0.306744,0.075,0.0064104
1000,CPU,0.304791,0.064,0.0045896
1000,CPU,0.304129,0.073,0.0044104
1000,CPU,0.303718,0.067,0.0015896
1000,CPU,0.299831,0.061,0.0075896
1000,CPU,0.304169,0.083,0.0144104
1000,CPU,0.303988,0.064,0.0045896
1000,CPU,0.303648,0.06,0.0085896
1000,CPU,0.303407,0.045,0.0235896
1000,CPU,0.300763,0.073,0.0044104
1000,CPU,0.30505,0.079,0.0104104
1000,CPU,0.304229,0.071,0.0024104
1000,CPU,0.304118,0.065,0.0035896
1000,CPU,0.312745,0.081,0.0124104
1000,CPU,0.303989,0.068,0.0005896
1000,CPU,0.301133,0.082,0.0134104
1000,CPU,0.31017,0.08,0.0114104
1000,CPU,0.303989,0.076,0.0074104
1000,CPU,0.304129,0.066,0.0025896
1000,CPU,0.30464,0.06,0.0085896
1000,CPU,0.304429,0.053,0.0155896
1000,CPU,0.300222,0.068,0.0005896
1000,CPU,0.304189,0.076,0.0074104
1000,CPU,0.30473,0.073,0.0044104
1000,CPU,0.303878,0.07,0.0014104
1000,CPU,0.305131,0.07,0.0014104
1000,CPU,0.299991,0.062,0.0065896
1000,CPU,0.308898,0.065,0.0035896
1000,CPU,0.30444,0.063,0.0055896
1000,CPU,0.303708,0.066,0.0025896
1000,CPU,0.303899,0.071,0.0024104
1000,CPU,0.30473,0.078,0.0094104
1000,CPU,0.29979,0.066,0.0025896
1000,CPU,0.303968,0.081,0.0124104
1000,CPU,0.304019,0.061,0.0075896
1000,CPU,0.303278,0.058,0.0105896
1000,CPU,0.304279,0.049,0.0195896
1000,CPU,0.29906,0.052,0.0165896
1000,CPU,0.305331,0.071,0.0024104
1000,CPU,0.303398,0.06,0.0085896
1000,CPU,0.306784,0.07,0.0014104
1000,CPU,0.305141,0.079,0.0104104
1000,CPU,0.304058,0.06,0.0085896
1000,CPU,0.29952,0.07,0.0014104
1000,CPU,0.303177,0.055,0.0135896
1000,CPU,0.303617,0.07,0.0014104
1000,CPU,0.304419,0.061,0.0075896
1000,CPU,0.304579,0.091,0.0224104
1000,CPU,0.300222,0.062,0.0065896
1000,CPU,0.30504,0.066,0.0025896
1000,CPU,0.303699,0.066,0.0025896
1000,CPU,0.304119,0.062,0.0065896
1000,CPU,0.303828,0.067,0.0015896
1000,CPU,0.306233,0.067,0.0015896
1000,CPU,0.300732,0.079,0.0104104
1000,CPU,0.304781,0.072,0.0034104
1000,CPU,0.30463,0.072,0.0034104
1000,CPU,0.303648,0.055,0.0135896
1000,CPU,0.30421,0.068,0.0005896
1000,CPU,0.305001,0.08,0.0114104
1000,CPU,0.300111,0.081,0.0124104
1000,CPU,0.303678,0.074,0.0054104
1000,CPU,0.304079,0.071,0.0024104
1000,CPU,0.30462,0.099,0.0304104
1000,CPU,0.303187,0.061,0.0075896
1000,CPU,0.300232,0.066,0.0025896
1000,CPU,0.306754,0.068,0.0005896
1000,CPU,0.303839,0.063,0.0055896
1000,CPU,0.304149,0.066,0.0025896
1000,CPU,0.303478,0.057,0.0115896
1000,CPU,0.304219,0.069,0.0004104
1000,CPU,0.300653,0.065,0.0035896
1000,CPU,0.304139,0.055,0.0135896
1000,CPU,0.303348,0.057,0.0115896
1000,CPU,0.303668,0.07,0.0014104
1000,CPU,0.303017,0.063,0.0055896
1000,CPU,0.299791,0.065,0.0035896
1000,CPU,0.303458,0.078,0.0094104
1000,CPU,0.302856,0.055,0.0135896
1000,CPU,0.307265,0.062,0.0065896
1000,CPU,0.304199,0.068,0.0005896
1000,CPU,0.304389,0.067,0.0015896
1000,CPU,0.300573,0.084,0.0154104
1000,CPU,0.304079,0.068,0.0005896
1000,CPU,0.304069,0.076,0.0074104
1000,CPU,0.303899,0.067,0.0015896
1000,CPU,0.303468,0.07,0.0014104
1000,CPU,0.298969,0.068,0.0005896
1000,CPU,0.30473,0.077,0.0084104
1000,CPU,0.305592,0.08,0.0114104
1000,CPU,0.303658,0.059,0.0095896
1000,CPU,0.303838,0.064,0.0045896
1000,CPU,0.307635,0.068,0.0005896
1000,CPU,0.300342,0.063,0.0055896
1000,CPU,0.303096,0.083,0.0144104
1000,CPU,0.304159,0.085,0.0164104
1000,CPU,0.303538,0.067,0.0015896
1000,CPU,0.303939,0.068,0.0005896
1000,CPU,0.303147,0.049,0.0195896
1000,CPU,0.29951,0.063,0.0055896
1000,CPU,0.303778,0.073,0.0044104
1000,CPU,0.304139,0.06,0.0085896
1000,CPU,0.303999,0.068,0.0005896
1000,CPU,0.303468,0.079,0.0104104
1000,CPU,0.300082,0.06,0.0085896
1000,CPU,0.304399,0.068,0.0005896
1000,CPU,0.307696,0.076,0.0074104
1000,CPU,0.302957,0.062,0.0065896
1000,CPU,0.304539,0.072,0.0034104
1000,CPU,0.305411,0.067,0.0015896
1000,CPU,0.299731,0.071,0.0024104
1000,CPU,0.304019,0.062,0.0065896
1000,CPU,0.30487,0.067,0.0015896
1000,CPU,0.30467,0.066,0.0025896
1000,CPU,0.304409,0.064,0.0045896
1000,CPU,0.300242,0.071,0.0024104
1000,CPU,0.303608,0.061,0.0075896
1000,CPU,0.303708,0.074,0.0054104
1000,CPU,0.304149,0.07,0.0014104
1000,CPU,0.307466,0.069,0.0004104
1000,CPU,0.303938,0.07,0.0014104
1000,CPU,0.299741,0.087,0.0184104
1000,CPU,0.31053,0.075,0.0064104
1000,CPU,0.30487,0.072,0.0034104
